Date,Close,Volume,Open,High,Low,weekly_std_dev
2024-02-05,187.68,69668820,188.15,189.25,185.84,
2024-02-06,189.3,43490760,186.86,189.31,186.77,
2024-02-07,189.41,53438960,190.64,191.05,188.61,
2024-02-08,188.32,40962050,189.39,189.54,187.35,
2024-02-09,188.85,45155220,188.65,189.99,188.0,
2024-02-12,187.15,41781930,188.42,188.67,186.79,
2024-02-13,185.04,56529530,185.77,186.21,183.51,1.531914457390467
2024-02-14,184.15,54630520,185.32,185.53,182.44,2.11220264179364
2024-02-15,183.86,65434500,183.55,184.49,181.35,2.3135522059214124
2024-02-16,182.31,49752470,183.42,184.85,181.67,2.4697599652019537
2024-02-20,181.56,53665550,181.79,182.43,180.0,2.5794166930123175
2024-02-21,182.32,41529670,181.94,182.89,180.66,1.928211606644927
2024-02-22,184.37,52292210,183.48,184.96,182.46,1.299970695640501
2024-02-23,182.52,45119680,185.01,185.04,182.23,1.0939487234436955
2024-02-26,181.16,40867420,182.24,182.76,180.65,1.1578119758531233
2024-02-27,182.63,54318850,181.1,183.92,179.56,1.0169562429133117
2024-02-28,181.42,48953940,182.51,183.12,180.13,1.0849072815333993
2024-02-29,180.75,136682600,181.27,182.57,179.53,1.2107534057454512
2024-03-01,179.66,73563080,179.55,180.53,177.38,1.5300949239151587
2024-03-04,175.1,81510100,176.15,176.9,173.79,2.5760998575736833
2024-03-05,170.12,95132360,170.76,172.04,169.62,4.483207291554628
2024-03-06,169.12,68587710,171.06,171.24,168.68,5.558844090190772
2024-03-07,169.0,71765060,169.15,170.73,168.49,5.633074522090948
2024-03-08,170.73,76267040,169.0,173.7,168.94,5.026591669265141
2024-03-11,172.75,60139470,172.94,174.38,172.05,3.8818202652145892
2024-03-12,173.23,59825370,173.15,174.03,171.01,2.305723726894482
2024-03-13,171.13,52488690,172.77,173.19,170.76,1.648892846442731
2024-03-14,173.0,72913510,172.91,174.31,172.05,1.7846941848214852
2024-03-15,172.62,121752700,171.17,172.62,170.29,1.5540699254974017
2024-03-18,173.72,75604180,175.57,177.71,173.52,1.10629798792967
2024-03-19,176.08,55215240,174.34,176.61,173.03,1.495943721885768
2024-03-20,178.67,53423100,175.72,178.67,175.09,2.5139269224522427
2024-03-21,171.37,106181300,177.05,177.49,170.84,2.7076399845097505
2024-03-22,172.28,71160140,171.76,173.05,170.06,2.5489783200710274
2024-03-25,170.85,54288330,170.57,171.94,169.45,2.8013738126313923
2024-03-26,169.71,57388450,170.0,171.42,169.58,3.1720760814754194
2024-03-27,173.31,60273270,170.41,173.6,170.11,3.1655143266746952
2024-03-28,171.48,65672690,171.75,172.23,170.51,2.932381609675628
2024-04-01,170.03,46240500,171.19,171.25,169.48,1.2503732775997591
2024-04-02,168.84,49329480,169.08,169.34,168.23,1.5525401612786918
2024-04-03,169.65,47691720,168.79,170.68,168.58,1.4878700020027111
2024-04-04,168.82,53704390,170.29,171.92,168.82,1.6128826603919293
2024-04-05,169.58,42104830,169.59,170.39,168.95,1.6210372928357877
2024-04-08,169.58,37425510,169.03,169.2,168.24,0.8964453612557038
2024-04-09,169.67,42451210,168.7,170.08,168.35,0.45231678743234544
2024-04-10,167.78,49709340,168.8,169.09,167.11,0.7035251374686821
2024-04-11,175.04,91070280,168.34,175.46,168.16,2.320364298163749
2024-04-12,176.55,101670900,174.26,178.36,174.21,3.367653556438474
2024-04-15,172.69,73531770,175.36,176.63,172.5,3.265694704770176
2024-04-16,169.38,73711240,171.75,173.76,168.27,3.28666859847362
2024-04-17,168.0,50901210,169.61,170.65,168.0,3.490603713645597
2024-04-18,167.04,43122900,168.03,168.64,166.55,3.8213429451914105
2024-04-19,165.0,68149380,166.21,166.4,164.08,4.315292298216888
2024-04-22,165.84,48116440,165.52,167.26,164.77,4.10829996122865
2024-04-23,166.9,49537760,165.35,167.05,164.92,2.566085586666658
2024-04-24,169.02,48251840,166.54,169.3,166.21,1.6032823474726985
2024-04-25,169.89,50558330,169.53,170.61,168.15,1.7202699123776577
2024-04-26,169.3,44838350,169.88,171.34,169.18,1.862140345588881
2024-04-29,173.5,68169420,173.37,176.03,173.1,2.878881231113929
2024-04-30,170.33,65934780,173.33,174.99,170.0,2.47804934806215
2024-05-01,169.3,50383150,169.58,172.71,169.11,1.978167742900014
2024-05-02,173.03,94214920,172.51,173.42,170.89,1.8602943955453566
2024-05-03,183.38,163224100,186.65,187.0,182.66,5.023945518358073
